search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
CAND 49419605625 7647630 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6277, 1)]
CAND 49498336875 7634730 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6287, 1)]
CAND 49592814375 7619250 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6299, 1)]
CAND 49608560625 7616670 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6301, 1)]
CAND 49687291875 7603770 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6311, 1)]
CAND 49734530625 7596030 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6317, 1)]
CAND 49781769375 7588290 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6323, 1)]
CAND 49829008125 7580550 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6329, 1)]
CAND 49891993125 7570230 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6337, 1)]
CAND 49939231875 7562490 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6343, 1)]
CAND 50017963125 7549590 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6353, 1)]
CAND 50065201875 7541850 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6359, 1)]
CAND 50080948125 7539270 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6361, 1)]
CAND 50128186875 7531530 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6367, 1)]
CAND 50175425625 7523790 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6373, 1)]
CAND 50222664375 7516050 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6379, 1)]
CAND 50301395625 7503150 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6389, 1)]
CAND 50364380625 7492830 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6397, 1)]
CAND 50553335625 7461870 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6421, 1)]
CAND 50600574375 7454130 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6427, 1)]
CAND 50773783125 7425750 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6449, 1)]
CAND 50789529375 7423170 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6451, 1)]
